"case" "harvestDate" "sCropCult" "maxLAI" "maxRootDepth" "yield"
"sim1" 2007-10-06 "WHEAT.Cocorit" 0 0 0
"sim1" 2008-07-31 "WHEAT.Cocorit" 0 0 0
